"filename", "language", "JSON", "YAML", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "MS SQL", "JavaScript JSX", "PostCSS", "XML", "Docker", "HTML", "comment", "blank", "total"
"c:\json-editor-react\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\json-editor-react\client\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 6, 14
"c:\json-editor-react\client\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\json-editor-react\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 20, 123
"c:\json-editor-react\client\package-lock.json", "JSON", 5717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5718
"c:\json-editor-react\client\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\json-editor-react\client\public\load.js", "JavaScript", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 8, 27, 213
"c:\json-editor-react\client\src\assets\json-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\json-editor-react\client\src\assets\json-schema-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\json-editor-react\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\json-editor-react\client\src\components\JE.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 949, 0, 0, 0, 46, 167, 1162
"c:\json-editor-react\client\src\components\JE.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1731, 0, 0, 0, 0, 18, 184, 1933
"c:\json-editor-react\client\src\components\RegistryPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 1, 3, 91
"c:\json-editor-react\client\src\components\newJE.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 0, 95, 1095
"c:\json-editor-react\client\src\components\styles_copy.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1032, 0, 0, 0, 57, 191, 1280
"c:\json-editor-react\client\src\components\test.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\json-editor-react\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 2, 27
"c:\json-editor-react\client\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 24, 6, 51
"c:\json-editor-react\docker-compose.yml", "YAML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\json-editor-react\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\json-editor-react\server\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\json-editor-react\server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 7, 25
"c:\json-editor-react\server\README.md", "Markdown", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 2, 29, 99
"c:\json-editor-react\server\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\json-editor-react\server\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\json-editor-react\server\package-lock.json", "JSON", 12411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12412
"c:\json-editor-react\server\package.json", "JSON", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 90
"c:\json-editor-react\server\prisma\migrations\20250608082110_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 13, 18, 82
"c:\json-editor-react\server\prisma\seed.mjs", "JavaScript", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 7, 13, 116
"c:\json-editor-react\server\public\js\bundle_ru.js", "JavaScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 3, 51
"c:\json-editor-react\server\public\js\load.js", "JavaScript", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 8, 27, 213
"c:\json-editor-react\server\public\load.js", "JavaScript", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 3, 19, 172
"c:\json-editor-react\server\src\app.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\json-editor-react\server\src\auth\auth.controller.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\json-editor-react\server\src\auth\auth.module.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"c:\json-editor-react\server\src\auth\auth.service.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 65
"c:\json-editor-react\server\src\auth\dto\login.dto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\json-editor-react\server\src\auth\jwt.guard.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\json-editor-react\server\src\json\dto\rename-json.dto.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\json-editor-react\server\src\json\dto\save-json.dto.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\json-editor-react\server\src\json\json.controller.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 56
"c:\json-editor-react\server\src\json\json.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\json-editor-react\server\src\json\json.service.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 106
"c:\json-editor-react\server\src\main.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\json-editor-react\server\src\prisma\prisma.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\json-editor-react\server\src\prisma\prisma.service.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\json-editor-react\server\src\redis\redis.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\json-editor-react\server\src\redis\redis.service.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\json-editor-react\server\src\widget-config\widget-config.controller.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 63
"c:\json-editor-react\server\src\widget-config\widget-config.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\json-editor-react\server\src\widget-config\widget-config.service.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\json-editor-react\server\test\app.e2e-spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\json-editor-react\server\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\json-editor-react\server\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\json-editor-react\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 18322, 30, 434, 21, 73, 736, 51, 2842, 1981, 25, 15, 103, 246, 929, 25808